Champ,Class,PI,Stars,Attack,Defense
Spider-Man,Science,8025,5,False,False
Mordo,Mystic,6586,4,False,False
Rocket Raccoon,Tech,6283,5,False,False
The Hood,Mystic,6210,4,False,False
Hyperion,Cosmic,5872,4,False,False
Super Iron Man,Cosmic,5791,4,False,False
Black Panther CW,Skill,5755,5,False,False
Unstopable Colossus,Mystic,5683,5,False,False
Yondu,Tech,5629,4,False,False
Star Lord,Tech,5420,4,False,False
Drax,Cosmic,5346,5,False,False
Wolverine,Mutant,5172,4,False,False
Hawkeye,Skill,5152,5,False,False
Doctor Voodo,Mystic,4870,4,False,False
Quake,Science,4584,4,False,False
Archangel,Mutant,4556,4,False,False
Electro,Science,4551,4,False,False
Hulkbuster,Tech,4361,4,False,False
Black Widow,Skill,4354,4,False,False
Captain America WWII,Science,4270,4,False,False
Wolverine X-23,Mutant,4191,4,False,False
Mephisto,Mystic,4154,4,False,False
Gamora,Cosmic,4142,4,False,False
Magik,Mystic,4103,4,False,False
Iron Fist,Mystic,4031,5,False,False
Juggernaut,Mystic,4012,5,False,False
