Champ,Class,PI,Stars,Attack,Defense
Thor,Cosmic,5835,4,True,False
Wolverine X-23,Mutant,5541,4,True,False
Hulk,Science,5369,4,False,False
Vision,Tech,5302,4,True,False
Scarlet Witch,Mystic,5175,4,False,False
Hawkeye,Skill,5168,4,True,False
Cross Bones,Skill,4252,4,False,False
Captain America WWII,Science,4194,4,True,False
Guillotine,Mystic,4148,4,True,False
Black Widow,Skill,4090,4,False,False
Colossus,Mutant,3986,5,False,False
Guillotine,Mystic,3913,5,False,False
Black Panther,Skill,3599,5,False,False
Phoenix,Cosmic,3332,5,False,False
Juggernaut,Mystic,3245,5,False,False
Ronan,Cosmic,3019,5,False,False
Iron Patriot,Tech,2911,5,False,False
Captain Marvel,Cosmic,2791,5,False,False
Karnak,Skill,1610,4,False,False
Carnage,Cosmic,1581,4,False,False
Loki,Mystic,1572,4,False,False
Winter Soldier,Skill,1395,4,False,False
Luke Cage,Science,1359,4,False,False
