Champ,Class,PI,Stars,Attack,Defense
Spider-Man,Science,8089,5,False,False
Hawkeye,Skill,7514,5,True,False
Ghost Rider,Mystic,6337,4,False,False
Quake,Science,6290,4,False,False
Iron Fist,Mystic,6282,5,False,False
Rogue,Mutant,6186,4,False,False
Archangel,Mutant,6068,4,True,False
Nightcrawler,Mutant,6057,4,False,False
Storm,Mutant,5970,5,False,False
Thor,Cosmic,5941,4,False,False
Captain America WWII,Science,5769,4,False,False
Black Widow,Skill,5761,4,False,False
Ultron,Tech,5668,4,True,False
Ms. Marvel,Cosmic,5517,4,False,False
Scarlet Witch,Mystic,5383,4,False,False
Vision,Tech,5370,4,True,False
Star Lord,Tech,5354,4,True,False
Black Panther,Skill,5111,5,False,False
Wolverine,Mutant,5080,4,False,False
Rocket Raccoon,Tech,4457,4,False,False
Electro,Science,4443,4,False,False
Elektra,Skill,4429,4,False,False
Agent Venom,Skill,4392,4,False,False
Hulkbuster,Tech,4378,5,False,False
Magik,Mystic,4337,4,False,False
Storm,Mutant,4307,4,False,False
Super Iron Man,Cosmic,4271,4,False,False
Black Panther CW,Skill,4261,4,False,False
Guillotine,Mystic,4240,4,False,False
Hulkbuster,Tech,4208,4,False,False
Cross Bones,Skill,4197,4,False,False
Cross Bones,Skill,4023,5,False,False
Spider-Man Miles,Science,3852,5,False,False
Winter Soldier,Skill,3772,5,False,False
Moon Knight,Skill,3737,5,False,False
Star Lord,Tech,3736,5,False,False
Luke Cage,Science,3681,5,False,False
Juggernaut,Mystic,3652,5,False,False
Ant Man,Science,3581,5,False,False
Nightcrawler,Mutant,2319,5,False,False
