Champ,Class,PI,Stars,Attack,Defense
Spider-Man,Science,7915,5,False,False
Hawkeye,Skill,7804,5,True,False
Doctor Voodo,Mystic,6459,4,True,False
Hyperion,Cosmic,5957,4,False,False
Nightcrawler,Mutant,5938,4,False,False
Captain America WWII,Science,5809,4,False,False
Guillotine,Mystic,5738,4,False,False
Iceman,Mutant,5721,4,True,False
Daredevil,Skill,5627,4,False,False
Scarlet Witch,Mystic,5503,4,True,False
Vision,Tech,5425,4,True,False
Captain Marvel,Cosmic,5291,5,False,False
Star Lord,Tech,5238,5,False,False
Wolverine,Mutant,5147,4,True,False
Phoenix,Cosmic,4708,4,False,False
Gambit,Mutant,4551,4,False,False
Agent Venom,Skill,4454,4,False,False
Falcon,Skill,4410,4,False,False
Electro,Science,4383,4,False,False
Hulkbuster,Tech,4293,4,False,False
Magneto,Mutant,4182,4,False,False
Black Bolt,Cosmic,4120,4,False,False
Unstopable Colossus,Mystic,4061,5,False,False
Colossus,Mutant,4057,5,False,False
Rocket Raccoon,Mutant,4047,5,False,False
Hulk,Science,4044,4,False,False
Archangel,Mutant,4033,4,False,False
Black Panther,Skill,3998,4,False,False
Yellow Jacket,Science,3957,5,False,False
Dormammu,Mystic,3934,4,False,False
