Champ,Class,PI,Stars,Attack,Defense
Iron Fist,Mystic,8672,5,True,False
Star Lord,Tech,7799,5,True,False
Phoenix,Cosmic,6337,4,False,False
Quake,Science,6306,4,False,False
Doctor Voodo,Mystic,6144,4,True,False
Gwenpool,Skill,6096,4,True,False
Hyperion,Cosmic,5635,4,False,False
Black Widow,Skill,5631,4,False,False
Wolverine X-23,Mutant,5528,4,True,False
Ronan,Cosmic,5480,5,False,False
Vision,Tech,5357,4,False,False
Nightcrawler,Mutant,5217,4,False,False
Black Panther,Skill,5026,5,False,False
Wolverine,Mutant,4778,4,True,False
Ghost Rider,Mystic,4666,4,False,False
Falcon,Skill,4394,4,False,False
Cross Bones,Skill,4339,4,False,False
Agent Venom,Skill,4256,4,False,False
Black Panther CW,Skill,4216,4,False,False
Magik,Mystic,4161,4,False,False
Captain America WWII,Science,4156,4,False,False
Ultron,Tech,4076,4,False,False
Hulk,Science,4048,4,False,False
Scarlet Witch,Mystic,4039,4,False,False
Drax,Cosmic,4035,4,False,False
Doctor Strange,Mystic,3962,4,False,False
War Machine,Tech,3928,4,False,False
Winter Soldier,Skill,3889,4,False,False
Venompool,Cosmic,3856,4,False,False
Guillotine,Mystic,414,4,False,False
