Champ,Class,PI,Stars,Attack,Defense
Star Lord,Tech,8581,5,True,False
Storm,Mutant,8348,5,False,False
Quake,Science,6825,4,False,False
Doctor Voodo,Mystic,6693,4,True,False
Gwenpool,Skill,6467,4,False,False
Thor,Cosmic,6272,4,True,False
Black Widow,Skill,6071,4,True,False
Captain America WWII,Science,6003,4,False,False
Wolverine X-23,Mutant,5953,4,True,False
Black Panther,Skill,5921,5,False,False
Hawkeye,Skill,5813,5,False,False
Magik,Mystic,5718,5,False,False
Scarlet Witch,Mystic,5694,4,True,False
Drax,Cosmic,5636,5,False,False
Vision,Tech,5629,4,False,False
Mordo,Mystic,5055,4,False,False
Archangel,Mutant,4870,4,False,False
Ghost Rider,Mystic,4850,4,False,False
Rocket Raccoon,Tech,4827,4,False,False
Nightcrawler,Mutant,4787,4,False,False
Agent Venom,Skill,4691,4,False,False
Cross Bones,Skill,4648,4,False,False
Black Panther CW,Skill,4477,4,False,False
Gamora,Cosmic,4422,4,False,False
Ultron,Tech,4419,4,False,False
Yellow Jacket,Science,4415,4,False,False
Daredevil,Skill,4385,4,False,False
Guillotine,Mystic,4376,4,False,False
Spider-Man Miles,Science,4323,4,False,False
Ronan,Cosmic,4286,5,False,False
Black Bolt,Cosmic,4247,4,False,False
Unstopable Colossus,Mystic,4134,4,False,False
Ultron,Tech,4074,5,False,False
Spider-Man,Science,4067,5,False,False
Iceman,Mutant,4060,4,False,False
Red Hulk,Science,3326,5,False,False
Juggernaut,Mystic,3183,5,False,False
Moon Knight,Skill,3046,5,False,False
Captain Marvel,Cosmic,3025,5,False,False
Captain America,Science,2973,5,False,False
