Champ,Class,PI,Stars,Attack,Defense
Star Lord,Tech,6804,5,False,False
Magik,Mystic,6232,5,False,False
Gwenpool,Skill,5842,4,False,False
Thor,Cosmic,5793,4,False,False
Captain America WWII,Science,5669,4,False,False
Captain Marvel,Cosmic,5616,5,False,False
Black Widow,Skill,5502,4,False,False
Wolverine X-23,Mutant,5496,4,False,False
Vision,Tech,5384,4,False,False
Storm,Mutant,5372,4,False,False
Hulk,Science,5306,4,False,False
Scarlet Witch,Mystic,5196,4,False,False
Winter Soldier,Skill,5164,4,False,False
Loki,Mystic,4616,4,False,False
Civil Warrior,Tech,4311,4,False,False
Deadpool X-Factor,Mutant,4303,4,False,False
Electro,Science,4294,4,False,False
Ms. Marvel KK,Cosmic,4225,4,False,False
Cross Bones,Skill,4210,4,False,False
Elektra,Skill,4189,4,False,False
Iron Fist,Mystic,4176,4,False,False
Venompool,Cosmic,4147,4,False,False
Hulkbuster,Tech,4112,4,False,False
Iron Patriot,Tech,4098,5,False,False
Magneto,Mutant,4047,4,False,False
Ms. Marvel,Yellow Jacket,4028,4,False,False
Dr. Strange,Mystic,4012,4,False,False
Colossus,Mutant,4006,4,False,False
Drax,Cosmic,3995,5,False,False
Captain Marvel,Cosmic,3989,4,False,False
Spider-Man Black,Cosmic,3981,4,False,False
Moon Knight,Skill,3981,4,False,False
Black Bolt,Cosmic,3954,4,False,False
Venom,Cosmic,3942,4,False,False
Magik,Mystic,3933,4,False,False
Spider-Man,Science,3917,4,False,False
Iron Man,Tech,3912,4,False,False
Abomination,Science,3892,4,False,False
Guillotine,Mystic,3866,5,False,False
Hawkeye,Skill,3858,4,False,False
War Machine,Tech,3847,4,False,False
Cyclops,Mutant,3787,5,False,False
Juggernaut,Mystic,3755,4,False,False
Spider-Gwen,Science,3687,5,False,False
Iron Man,Tech,3684,5,False,False
Winter Soldier,Skill,3650,5,False,False
Phoenix,Cosmic,3582,4,False,False
Juggernaut,Mystic,3579,5,False,False
Black Panther,Skill,3554,5,False,False
Rhino,Science,3511,5,False,False
Gambit,Mutant,3303,4,False,False
Thor Lady,Mystic,3179,4,False,False
Joe Fixit,Science,3104,4,False,False
Magneto White,Mutant,3078,4,False,False
Iron Patriot,Tech,3069,4,False,False
Karnak,Skill,3062,4,False,False
Gamora,Cosmic,3035,4,False,False
Luke Cage,Science,2959,4,False,False
Angela,Cosmic,2931,4,False,False
Black Panther,Skill,2907,4,False,False
Red Hulk,Science,2880,4,False,False
Unstopable Colossus,Mystic,2879,4,False,False
Nebula,Tech,2869,4,False,False
Hyperion,Cosmic,2839,4,False,False
Super Iron Man,Cosmic,2837,4,False,False
Rocket Raccoon,Tech,2831,4,False,False
Ant Man,Science,2820,4,False,False
Old Man Logan,Mutant,2749,4,False,False
Cyclops,Mutant,2744,4,False,False
Beast,Mutant,2740,4,False,False
Spider-Man Miles,Science,2712,4,False,False
Daredevil,Skill,2703,4,False,False
Drax,Cosmic,2670,4,False,False
Wolverine,Mutant,2612,4,False,False
Captain America,Science,2595,4,False,False
Old Man Logan,Mutant,2171,5,False,False
Punisher,Skill,993,4,False,False
