Champ,Class,PI,Stars,Attack,Defense
Phoenix,Cosmic,6414,4,False,False
Mordo,Mystic,6391,4,False,False
Quake,Science,6068,4,False,False
Thor,Cosmic,5781,4,False,False
Black Widow,Skill,5776,4,False,False
Wolverine X-23,Mutant,5663,5,False,False
Daredevil,Skill,5627,4,False,False
Daredevil,Skill,5627,4,False,False
Ultron,Tech,5545,4,True,False
Spider-Man Black,Cosmic,5544,4,False,False
Spider-Man,Science,5480,4,False,False
Hulk,Science,5467,4,False,False
Scarlet Witch,Mystic,5457,4,True,False
Wolverine,Mutant,5208,4,True,False
Ghost Rider,Mystic,4769,4,False,False
Storm,Mutant,4232,4,False,False
Colossus,Mutant,4118,4,False,False
Rogue,Mutant,4081,4,False,False
Captain America,Science,4014,4,False,False
Winter Soldier,Skill,4005,4,False,False
Hawkeye,Skill,3895,4,False,False
Vision,Tech,3862,4,False,False
Hawkeye,Skill,3708,5,False,False
Civil Warrior,Tech,3377,4,False,False
Agent Venom,Skill,3336,4,False,False
Hulkbuster,Tech,3270,4,False,False
Wolverine X-23,Mutant,3232,4,False,False
Joe Fixit,Science,3198,4,False,False
Super Iron Man,Cosmic,3111,5,False,False
Gambit,Mutant,3102,4,False,False
Elektra,Skill,3073,5,False,False
Moon Knight,Skill,3057,4,False,False
Yellow Jacket,Science,3028,5,False,False
Magneto,Mutant,3023,5,False,False
Iron Fist,Mystic,3023,5,False,False
Unstopable Colossus,Mystic,3013,4,False,False
Storm,Mutant,2994,5,False,False
Magik,Mystic,2968,5,False,False
Rocket Raccoon,Tech,2961,4,False,False
Guillotine,Mystic,2950,4,False,False
Iron Man,Tech,2935,5,False,False
Yellow Jacket,Science,2884,4,False,False
Drax,Cosmic,1439,4,False,False
Venom,Cosmic,1408,4,False,False
Rhino,Science,1380,4,False,False
