Champ,Class,PI,Stars,Attack,Defense
Hyperion,Cosmic,5575,4,False,False
Captain America WWII,Science,5477,4,False,False
Scarlet Witch,Mystic,5236,4,False,False
Vision,Tech,5177,4,False,False
Wolverine,Mutant,4935,4,False,False
Spider-Man Stark,Tech,4664,4,False,False
Rocket Raccoon,Tech,4349,4,False,False
Thor,Cosmic,4303,4,False,False
Psylocke,Mutant,4290,4,False,False
Cross Bones,Skill,4281,4,False,False
Elektra,Skill,4188,4,False,False
Magik,Mystic,4054,4,False,False
Gwenpool,Skill,3974,4,False,False
Doctor Voodo,Mystic,3951,4,False,False
Spider-Man Black,Cosmic,3945,4,False,False
Nightcrawler,Mutant,3872,4,False,False
Spider-Man,Science,3852,4,False,False
Black Panther CW,Skill,3690,4,False,False
Wolverine X-23,Mutant,3608,4,False,False
Ghost Rider,Mystic,3384,4,False,False
Groot,Cosmic,3071,4,False,False
Spider-Gwen,Science,3022,4,False,False
Magneto,Mutant,2987,4,False,False
Archangel,Mutant,2970,4,False,False
Iron Man,Tech,2946,4,False,False
