Champ,Class,PI,Stars,Attack,Defense
Doctor Voodo,Mystic,6469,4,True,False
Gwenpool,Skill,6196,4,True,False
Hyperion,Cosmic,6018,4,False,False
Archangel,Mutant,6017,4,True,False
Iceman,Mutant,5720,4,True,False
Hulk,Science,5551,4,True,False
Scarlet Witch,Mystic,5395,4,False,False
Mordo,Mystic,4854,4,False,False
Howard The Duck,Tech,4486,4,False,False
Thor,Cosmic,4484,4,True,False
Iron Fist,Mystic,4465,4,False,False
Magik,Mystic,4353,4,False,False
Electro,Science,4302,4,False,False
Black Widow,Skill,4288,4,False,False
Captain America WWII,Science,4247,4,False,False
Drax,Cosmic,4097,4,False,False
Spider-Man Miles,Science,4093,4,False,False
Nightcrawler,Mutant,4008,4,False,False
Captain Marvel,Cosmic,4007,4,False,False
Abomination,Science,3993,4,False,False
Moon Knight,Skill,3978,5,False,False
Agent Venom,Skill,3917,4,False,False
Dormammu,Mystic,3892,4,False,False
Wolverine X-23,Mystic,3838,4,True,False
Ultron,Tech,3697,4,False,False
Carnage,Cosmic,3535,4,False,False
Captain America,Science,3490,4,False,False
Gambit,Mutant,3466,4,False,False
Rocket Raccoon,Tech,3349,4,False,False
Hulkbuster,Tech,3230,4,False,False
