Champ,Class,PI,Stars,Attack,Defense
Mordo,Mystic,6544,5,False,False
Gwenpool,Skill,6064,4,False,False
Vision,Tech,5812,4,True,False
Iceman,Mutant,5782,4,False,False
Nebula,Tech,5681,5,False,False
Scarlet Witch,Mystic,5602,4,True,False
Ultron,Tech,5411,5,False,False
Wolverine,Mutant,5162,4,True,False
Doctor Voodo,Mystic,5008,4,False,False
Nightcrawler,Mutant,4511,4,False,False
Cross Bones,Skill,4491,4,False,False
Thor,Cosmic,4482,4,False,False
Guillotine,Mystic,4372,4,False,False
Spider-Man Stark,Tech,4357,4,False,False
Black Widow,Skill,4321,4,False,False
Magik,Mystic,4316,4,False,False
Vulture,Tech,4184,5,False,False
Doctor Strange,Mystic,4173,4,False,False
Hulk,Science,4134,4,False,False
Ultron,Tech,4130,4,False,False
Archangel,Mutant,4102,4,False,False
The Hood,Mystic,4015,4,False,False
Yellow Jacket,Science,3996,5,False,False
Juggernaut,Mystic,3995,4,False,False
War Machine,Tech,3987,4,False,False
Captain America WWII,Science,3769,4,False,False
Hawkeye,Skill,3697,5,False,False
Rhino,Science,3638,5,False,False
Electro,Science,3337,4,False,False
Agent Venom,Skill,3337,5,False,False
